"","X","estatura","peso","genero","genero_cat"
"1",1,174,65.6,1,"Mujer"
"2",2,175.3,71.8,1,"Mujer"
"3",3,193.5,80.7,1,"Mujer"
"4",4,186.5,72.6,1,"Mujer"
"5",5,187.2,78.8,1,"Mujer"
"6",6,181.5,74.8,1,"Mujer"
"7",7,184,86.4,1,"Mujer"
"8",8,184.5,78.4,1,"Mujer"
"9",9,175,62,1,"Mujer"
"10",10,184,81.6,1,"Mujer"
"11",11,180,76.6,1,"Mujer"
"12",12,177.8,83.6,1,"Mujer"
"13",13,192,90,1,"Mujer"
"14",14,176,74.6,1,"Mujer"
"15",15,174,71,1,"Mujer"
"16",16,184,79.6,1,"Mujer"
"17",17,192.7,93.8,1,"Mujer"
"18",18,171.5,70,1,"Mujer"
"19",19,173,72.4,1,"Mujer"
"20",20,176,85.9,1,"Mujer"
"21",21,176,78.8,1,"Mujer"
"22",22,180.5,77.8,1,"Mujer"
"23",23,172.7,66.2,1,"Mujer"
"24",24,176,86.4,1,"Mujer"
"25",25,173.5,81.8,1,"Mujer"
"26",26,178,89.6,1,"Mujer"
"27",27,180.3,82.8,1,"Mujer"
"28",28,180.3,76.4,1,"Mujer"
"29",29,164.5,63.2,1,"Mujer"
"30",30,173,60.9,1,"Mujer"
"31",31,183.5,74.8,1,"Mujer"
"32",32,175.5,70,1,"Mujer"
"33",33,188,72.4,1,"Mujer"
"34",34,189.2,84.1,1,"Mujer"
"35",35,172.8,69.1,1,"Mujer"
"36",36,170,59.5,1,"Mujer"
"37",37,182,67.2,1,"Mujer"
"38",38,170,61.3,1,"Mujer"
"39",39,177.8,68.6,1,"Mujer"
"40",40,184.2,80.1,1,"Mujer"
"41",41,186.7,87.8,1,"Mujer"
"42",42,171.4,84.7,1,"Mujer"
"43",43,172.7,73.4,1,"Mujer"
"44",44,175.3,72.1,1,"Mujer"
"45",45,180.3,82.6,1,"Mujer"
"46",46,182.9,88.7,1,"Mujer"
"47",47,188,84.1,1,"Mujer"
"48",48,177.2,94.1,1,"Mujer"
"49",49,172.1,74.9,1,"Mujer"
"50",50,167,59.1,1,"Mujer"
"51",51,169.5,75.6,1,"Mujer"
"52",52,174,86.2,1,"Mujer"
"53",53,172.7,75.3,1,"Mujer"
"54",54,182.2,87.1,1,"Mujer"
"55",55,164.1,55.2,1,"Mujer"
"56",56,163,57,1,"Mujer"
"57",57,171.5,61.4,1,"Mujer"
"58",58,184.2,76.8,1,"Mujer"
"59",59,174,86.8,1,"Mujer"
"60",60,174,72.2,1,"Mujer"
"61",61,177,71.6,1,"Mujer"
"62",62,186,84.8,1,"Mujer"
"63",63,167,68.2,1,"Mujer"
"64",64,171.8,66.1,1,"Mujer"
"65",65,182,72,1,"Mujer"
"66",66,167,64.6,1,"Mujer"
"67",67,177.8,74.8,1,"Mujer"
"68",68,164.5,70,1,"Mujer"
"69",69,192,101.6,1,"Mujer"
"70",70,175.5,63.2,1,"Mujer"
"71",71,171.2,79.1,1,"Mujer"
"72",72,181.6,78.9,1,"Mujer"
"73",73,167.4,67.7,1,"Mujer"
"74",74,181.1,66,1,"Mujer"
"75",75,177,68.2,1,"Mujer"
"76",76,174.5,63.9,1,"Mujer"
"77",77,177.5,72,1,"Mujer"
"78",78,170.5,56.8,1,"Mujer"
"79",79,182.4,74.5,1,"Mujer"
"80",80,197.1,90.9,1,"Mujer"
"81",81,180.1,93,1,"Mujer"
"82",82,175.5,80.9,1,"Mujer"
"83",83,180.6,72.7,1,"Mujer"
"84",84,184.4,68,1,"Mujer"
"85",85,175.5,70.9,1,"Mujer"
"86",86,180.6,72.5,1,"Mujer"
"87",87,177,72.5,1,"Mujer"
"88",88,177.1,83.4,1,"Mujer"
"89",89,181.6,75.5,1,"Mujer"
"90",90,176.5,73,1,"Mujer"
"91",91,175,70.2,1,"Mujer"
"92",92,174,73.4,1,"Mujer"
"93",93,165.1,70.5,1,"Mujer"
"94",94,177,68.9,1,"Mujer"
"95",95,192,102.3,1,"Mujer"
"96",96,176.5,68.4,1,"Mujer"
"97",97,169.4,65.9,1,"Mujer"
"98",98,182.1,75.7,1,"Mujer"
"99",99,179.8,84.5,1,"Mujer"
"100",100,175.3,87.7,1,"Mujer"
"101",101,184.9,86.4,1,"Mujer"
"102",102,177.3,73.2,1,"Mujer"
"103",103,167.4,53.9,1,"Mujer"
"104",104,178.1,72,1,"Mujer"
"105",105,168.9,55.5,1,"Mujer"
"106",106,157.2,58.4,1,"Mujer"
"107",107,180.3,83.2,1,"Mujer"
"108",108,170.2,72.7,1,"Mujer"
"109",109,177.8,64.1,1,"Mujer"
"110",110,172.7,72.3,1,"Mujer"
"111",111,165.1,65,1,"Mujer"
"112",112,186.7,86.4,1,"Mujer"
"113",113,165.1,65,1,"Mujer"
"114",114,174,88.6,1,"Mujer"
"115",115,175.3,84.1,1,"Mujer"
"116",116,185.4,66.8,1,"Mujer"
"117",117,177.8,75.5,1,"Mujer"
"118",118,180.3,93.2,1,"Mujer"
"119",119,180.3,82.7,1,"Mujer"
"120",120,177.8,58,1,"Mujer"
"121",121,177.8,79.5,1,"Mujer"
"122",122,177.8,78.6,1,"Mujer"
"123",123,177.8,71.8,1,"Mujer"
"124",124,177.8,116.4,1,"Mujer"
"125",125,163.8,72.2,1,"Mujer"
"126",126,188,83.6,1,"Mujer"
"127",127,198.1,85.5,1,"Mujer"
"128",128,175.3,90.9,1,"Mujer"
"129",129,166.4,85.9,1,"Mujer"
"130",130,190.5,89.1,1,"Mujer"
"131",131,166.4,75,1,"Mujer"
"132",132,177.8,77.7,1,"Mujer"
"133",133,179.7,86.4,1,"Mujer"
"134",134,172.7,90.9,1,"Mujer"
"135",135,190.5,73.6,1,"Mujer"
"136",136,185.4,76.4,1,"Mujer"
"137",137,168.9,69.1,1,"Mujer"
"138",138,167.6,84.5,1,"Mujer"
"139",139,175.3,64.5,1,"Mujer"
"140",140,170.2,69.1,1,"Mujer"
"141",141,190.5,108.6,1,"Mujer"
"142",142,177.8,86.4,1,"Mujer"
"143",143,190.5,80.9,1,"Mujer"
"144",144,177.8,87.7,1,"Mujer"
"145",145,184.2,94.5,1,"Mujer"
"146",146,176.5,80.2,1,"Mujer"
"147",147,177.8,72,1,"Mujer"
"148",148,180.3,71.4,1,"Mujer"
"149",149,171.4,72.7,1,"Mujer"
"150",150,172.7,84.1,1,"Mujer"
"151",151,172.7,76.8,1,"Mujer"
"152",152,177.8,63.6,1,"Mujer"
"153",153,177.8,80.9,1,"Mujer"
"154",154,182.9,80.9,1,"Mujer"
"155",155,170.2,85.5,1,"Mujer"
"156",156,167.6,68.6,1,"Mujer"
"157",157,175.3,67.7,1,"Mujer"
"158",158,165.1,66.4,1,"Mujer"
"159",159,185.4,102.3,1,"Mujer"
"160",160,181.6,70.5,1,"Mujer"
"161",161,172.7,95.9,1,"Mujer"
"162",162,190.5,84.1,1,"Mujer"
"163",163,179.1,87.3,1,"Mujer"
"164",164,175.3,71.8,1,"Mujer"
"165",165,170.2,65.9,1,"Mujer"
"166",166,193,95.9,1,"Mujer"
"167",167,171.4,91.4,1,"Mujer"
"168",168,177.8,81.8,1,"Mujer"
"169",169,177.8,96.8,1,"Mujer"
"170",170,167.6,69.1,1,"Mujer"
"171",171,167.6,82.7,1,"Mujer"
"172",172,180.3,75.5,1,"Mujer"
"173",173,182.9,79.5,1,"Mujer"
"174",174,176.5,73.6,1,"Mujer"
"175",175,186.7,91.8,1,"Mujer"
"176",176,188,84.1,1,"Mujer"
"177",177,188,85.9,1,"Mujer"
"178",178,177.8,81.8,1,"Mujer"
"179",179,174,82.5,1,"Mujer"
"180",180,177.8,80.5,1,"Mujer"
"181",181,171.4,70,1,"Mujer"
"182",182,185.4,81.8,1,"Mujer"
"183",183,185.4,84.1,1,"Mujer"
"184",184,188,90.5,1,"Mujer"
"185",185,188,91.4,1,"Mujer"
"186",186,182.9,89.1,1,"Mujer"
"187",187,176.5,85,1,"Mujer"
"188",188,175.3,69.1,1,"Mujer"
"189",189,175.3,73.6,1,"Mujer"
"190",190,188,80.5,1,"Mujer"
"191",191,188,82.7,1,"Mujer"
"192",192,175.3,86.4,1,"Mujer"
"193",193,170.5,67.7,1,"Mujer"
"194",194,179.1,92.7,1,"Mujer"
"195",195,177.8,93.6,1,"Mujer"
"196",196,175.3,70.9,1,"Mujer"
"197",197,182.9,75,1,"Mujer"
"198",198,170.8,93.2,1,"Mujer"
"199",199,188,93.2,1,"Mujer"
"200",200,180.3,77.7,1,"Mujer"
"201",201,177.8,61.4,1,"Mujer"
"202",202,185.4,94.1,1,"Mujer"
"203",203,168.9,75,1,"Mujer"
"204",204,185.4,83.6,1,"Mujer"
"205",205,180.3,85.5,1,"Mujer"
"206",206,174,73.9,1,"Mujer"
"207",207,167.6,66.8,1,"Mujer"
"208",208,182.9,87.3,1,"Mujer"
"209",209,160,72.3,1,"Mujer"
"210",210,180.3,88.6,1,"Mujer"
"211",211,167.6,75.5,1,"Mujer"
"212",212,186.7,101.4,1,"Mujer"
"213",213,175.3,91.1,1,"Mujer"
"214",214,175.3,67.3,1,"Mujer"
"215",215,175.9,77.7,1,"Mujer"
"216",216,175.3,81.8,1,"Mujer"
"217",217,179.1,75.5,1,"Mujer"
"218",218,181.6,84.5,1,"Mujer"
"219",219,177.8,76.6,1,"Mujer"
"220",220,182.9,85,1,"Mujer"
"221",221,177.8,102.5,1,"Mujer"
"222",222,184.2,77.3,1,"Mujer"
"223",223,179.1,71.8,1,"Mujer"
"224",224,176.5,87.9,1,"Mujer"
"225",225,188,94.3,1,"Mujer"
"226",226,174,70.9,1,"Mujer"
"227",227,167.6,64.5,1,"Mujer"
"228",228,170.2,77.3,1,"Mujer"
"229",229,167.6,72.3,1,"Mujer"
"230",230,188,87.3,1,"Mujer"
"231",231,174,80,1,"Mujer"
"232",232,176.5,82.3,1,"Mujer"
"233",233,180.3,73.6,1,"Mujer"
"234",234,167.6,74.1,1,"Mujer"
"235",235,188,85.9,1,"Mujer"
"236",236,180.3,73.2,1,"Mujer"
"237",237,167.6,76.3,1,"Mujer"
"238",238,183,65.9,1,"Mujer"
"239",239,183,90.9,1,"Mujer"
"240",240,179.1,89.1,1,"Mujer"
"241",241,170.2,62.3,1,"Mujer"
"242",242,177.8,82.7,1,"Mujer"
"243",243,179.1,79.1,1,"Mujer"
"244",244,190.5,98.2,1,"Mujer"
"245",245,177.8,84.1,1,"Mujer"
"246",246,180.3,83.2,1,"Mujer"
"247",247,180.3,83.2,1,"Mujer"
"248",248,161.2,51.6,0,"Hombre"
"249",249,167.5,59,0,"Hombre"
"250",250,159.5,49.2,0,"Hombre"
"251",251,157,63,0,"Hombre"
"252",252,155.8,53.6,0,"Hombre"
"253",253,170,59,0,"Hombre"
"254",254,159.1,47.6,0,"Hombre"
"255",255,166,69.8,0,"Hombre"
"256",256,176.2,66.8,0,"Hombre"
"257",257,160.2,75.2,0,"Hombre"
"258",258,172.5,55.2,0,"Hombre"
"259",259,170.9,54.2,0,"Hombre"
"260",260,172.9,62.5,0,"Hombre"
"261",261,153.4,42,0,"Hombre"
"262",262,160,50,0,"Hombre"
"263",263,147.2,49.8,0,"Hombre"
"264",264,168.2,49.2,0,"Hombre"
"265",265,175,73.2,0,"Hombre"
"266",266,157,47.8,0,"Hombre"
"267",267,167.6,68.8,0,"Hombre"
"268",268,159.5,50.6,0,"Hombre"
"269",269,175,82.5,0,"Hombre"
"270",270,166.8,57.2,0,"Hombre"
"271",271,176.5,87.8,0,"Hombre"
"272",272,170.2,72.8,0,"Hombre"
"273",273,174,54.5,0,"Hombre"
"274",274,173,59.8,0,"Hombre"
"275",275,179.9,67.3,0,"Hombre"
"276",276,170.5,67.8,0,"Hombre"
"277",277,160,47,0,"Hombre"
"278",278,154.4,46.2,0,"Hombre"
"279",279,162,55,0,"Hombre"
"280",280,176.5,83,0,"Hombre"
"281",281,160,54.4,0,"Hombre"
"282",282,152,45.8,0,"Hombre"
"283",283,162.1,53.6,0,"Hombre"
"284",284,170,73.2,0,"Hombre"
"285",285,160.2,52.1,0,"Hombre"
"286",286,161.3,67.9,0,"Hombre"
"287",287,166.4,56.6,0,"Hombre"
"288",288,168.9,62.3,0,"Hombre"
"289",289,163.8,58.5,0,"Hombre"
"290",290,167.6,54.5,0,"Hombre"
"291",291,160,50.2,0,"Hombre"
"292",292,161.3,60.3,0,"Hombre"
"293",293,167.6,58.3,0,"Hombre"
"294",294,165.1,56.2,0,"Hombre"
"295",295,160,50.2,0,"Hombre"
"296",296,170,72.9,0,"Hombre"
"297",297,157.5,59.8,0,"Hombre"
"298",298,167.6,61,0,"Hombre"
"299",299,160.7,69.1,0,"Hombre"
"300",300,163.2,55.9,0,"Hombre"
"301",301,152.4,46.5,0,"Hombre"
"302",302,157.5,54.3,0,"Hombre"
"303",303,168.3,54.8,0,"Hombre"
"304",304,180.3,60.7,0,"Hombre"
"305",305,165.5,60,0,"Hombre"
"306",306,165,62,0,"Hombre"
"307",307,164.5,60.3,0,"Hombre"
"308",308,156,52.7,0,"Hombre"
"309",309,160,74.3,0,"Hombre"
"310",310,163,62,0,"Hombre"
"311",311,165.7,73.1,0,"Hombre"
"312",312,161,80,0,"Hombre"
"313",313,162,54.7,0,"Hombre"
"314",314,166,53.2,0,"Hombre"
"315",315,174,75.7,0,"Hombre"
"316",316,172.7,61.1,0,"Hombre"
"317",317,167.6,55.7,0,"Hombre"
"318",318,151.1,48.7,0,"Hombre"
"319",319,164.5,52.3,0,"Hombre"
"320",320,163.5,50,0,"Hombre"
"321",321,152,59.3,0,"Hombre"
"322",322,169,62.5,0,"Hombre"
"323",323,164,55.7,0,"Hombre"
"324",324,161.2,54.8,0,"Hombre"
"325",325,155,45.9,0,"Hombre"
"326",326,170,70.6,0,"Hombre"
"327",327,176.2,67.2,0,"Hombre"
"328",328,170,69.4,0,"Hombre"
"329",329,162.5,58.2,0,"Hombre"
"330",330,170.3,64.8,0,"Hombre"
"331",331,164.1,71.6,0,"Hombre"
"332",332,169.5,52.8,0,"Hombre"
"333",333,163.2,59.8,0,"Hombre"
"334",334,154.5,49,0,"Hombre"
"335",335,159.8,50,0,"Hombre"
"336",336,173.2,69.2,0,"Hombre"
"337",337,170,55.9,0,"Hombre"
"338",338,161.4,63.4,0,"Hombre"
"339",339,169,58.2,0,"Hombre"
"340",340,166.2,58.6,0,"Hombre"
"341",341,159.4,45.7,0,"Hombre"
"342",342,162.5,52.2,0,"Hombre"
"343",343,159,48.6,0,"Hombre"
"344",344,162.8,57.8,0,"Hombre"
"345",345,159,55.6,0,"Hombre"
"346",346,179.8,66.8,0,"Hombre"
"347",347,162.9,59.4,0,"Hombre"
"348",348,161,53.6,0,"Hombre"
"349",349,151.1,73.2,0,"Hombre"
"350",350,168.2,53.4,0,"Hombre"
"351",351,168.9,69,0,"Hombre"
"352",352,173.2,58.4,0,"Hombre"
"353",353,171.8,56.2,0,"Hombre"
"354",354,178,70.6,0,"Hombre"
"355",355,164.3,59.8,0,"Hombre"
"356",356,163,72,0,"Hombre"
"357",357,168.5,65.2,0,"Hombre"
"358",358,166.8,56.6,0,"Hombre"
"359",359,172.7,105.2,0,"Hombre"
"360",360,163.5,51.8,0,"Hombre"
"361",361,169.4,63.4,0,"Hombre"
"362",362,167.8,59,0,"Hombre"
"363",363,159.5,47.6,0,"Hombre"
"364",364,167.6,63,0,"Hombre"
"365",365,161.2,55.2,0,"Hombre"
"366",366,160,45,0,"Hombre"
"367",367,163.2,54,0,"Hombre"
"368",368,162.2,50.2,0,"Hombre"
"369",369,161.3,60.2,0,"Hombre"
"370",370,149.5,44.8,0,"Hombre"
"371",371,157.5,58.8,0,"Hombre"
"372",372,163.2,56.4,0,"Hombre"
"373",373,172.7,62,0,"Hombre"
"374",374,155,49.2,0,"Hombre"
"375",375,156.5,67.2,0,"Hombre"
"376",376,164,53.8,0,"Hombre"
"377",377,160.9,54.4,0,"Hombre"
"378",378,162.8,58,0,"Hombre"
"379",379,167,59.8,0,"Hombre"
"380",380,160,54.8,0,"Hombre"
"381",381,160,43.2,0,"Hombre"
"382",382,168.9,60.5,0,"Hombre"
"383",383,158.2,46.4,0,"Hombre"
"384",384,156,64.4,0,"Hombre"
"385",385,160,48.8,0,"Hombre"
"386",386,167.1,62.2,0,"Hombre"
"387",387,158,55.5,0,"Hombre"
"388",388,167.6,57.8,0,"Hombre"
"389",389,156,54.6,0,"Hombre"
"390",390,162.1,59.2,0,"Hombre"
"391",391,173.4,52.7,0,"Hombre"
"392",392,159.8,53.2,0,"Hombre"
"393",393,170.5,64.5,0,"Hombre"
"394",394,159.2,51.8,0,"Hombre"
"395",395,157.5,56,0,"Hombre"
"396",396,161.3,63.6,0,"Hombre"
"397",397,162.6,63.2,0,"Hombre"
"398",398,160,59.5,0,"Hombre"
"399",399,168.9,56.8,0,"Hombre"
"400",400,165.1,64.1,0,"Hombre"
"401",401,162.6,50,0,"Hombre"
"402",402,165.1,72.3,0,"Hombre"
"403",403,166.4,55,0,"Hombre"
"404",404,160,55.9,0,"Hombre"
"405",405,152.4,60.4,0,"Hombre"
"406",406,170.2,69.1,0,"Hombre"
"407",407,162.6,84.5,0,"Hombre"
"408",408,170.2,55.9,0,"Hombre"
"409",409,158.8,55.5,0,"Hombre"
"410",410,172.7,69.5,0,"Hombre"
"411",411,167.6,76.4,0,"Hombre"
"412",412,162.6,61.4,0,"Hombre"
"413",413,167.6,65.9,0,"Hombre"
"414",414,156.2,58.6,0,"Hombre"
"415",415,175.2,66.8,0,"Hombre"
"416",416,172.1,56.6,0,"Hombre"
"417",417,162.6,58.6,0,"Hombre"
"418",418,160,55.9,0,"Hombre"
"419",419,165.1,59.1,0,"Hombre"
"420",420,182.9,81.8,0,"Hombre"
"421",421,166.4,70.7,0,"Hombre"
"422",422,165.1,56.8,0,"Hombre"
"423",423,177.8,60,0,"Hombre"
"424",424,165.1,58.2,0,"Hombre"
"425",425,175.3,72.7,0,"Hombre"
"426",426,154.9,54.1,0,"Hombre"
"427",427,158.8,49.1,0,"Hombre"
"428",428,172.7,75.9,0,"Hombre"
"429",429,168.9,55,0,"Hombre"
"430",430,161.3,57.3,0,"Hombre"
"431",431,167.6,55,0,"Hombre"
"432",432,165.1,65.5,0,"Hombre"
"433",433,175.3,65.5,0,"Hombre"
"434",434,157.5,48.6,0,"Hombre"
"435",435,163.8,58.6,0,"Hombre"
"436",436,167.6,63.6,0,"Hombre"
"437",437,165.1,55.2,0,"Hombre"
"438",438,165.1,62.7,0,"Hombre"
"439",439,168.9,56.6,0,"Hombre"
"440",440,162.6,53.9,0,"Hombre"
"441",441,164.5,63.2,0,"Hombre"
"442",442,176.5,73.6,0,"Hombre"
"443",443,168.9,62,0,"Hombre"
"444",444,175.3,63.6,0,"Hombre"
"445",445,159.4,53.2,0,"Hombre"
"446",446,160,53.4,0,"Hombre"
"447",447,170.2,55,0,"Hombre"
"448",448,162.6,70.5,0,"Hombre"
"449",449,167.6,54.5,0,"Hombre"
"450",450,162.6,54.5,0,"Hombre"
"451",451,160.7,55.9,0,"Hombre"
"452",452,160,59,0,"Hombre"
"453",453,157.5,63.6,0,"Hombre"
"454",454,162.6,54.5,0,"Hombre"
"455",455,152.4,47.3,0,"Hombre"
"456",456,170.2,67.7,0,"Hombre"
"457",457,165.1,80.9,0,"Hombre"
"458",458,172.7,70.5,0,"Hombre"
"459",459,165.1,60.9,0,"Hombre"
"460",460,170.2,63.6,0,"Hombre"
"461",461,170.2,54.5,0,"Hombre"
"462",462,170.2,59.1,0,"Hombre"
"463",463,161.3,70.5,0,"Hombre"
"464",464,167.6,52.7,0,"Hombre"
"465",465,167.6,62.7,0,"Hombre"
"466",466,165.1,86.3,0,"Hombre"
"467",467,162.6,66.4,0,"Hombre"
"468",468,152.4,67.3,0,"Hombre"
"469",469,168.9,63,0,"Hombre"
"470",470,170.2,73.6,0,"Hombre"
"471",471,175.2,62.3,0,"Hombre"
"472",472,175.2,57.7,0,"Hombre"
"473",473,160,55.4,0,"Hombre"
"474",474,165.1,104.1,0,"Hombre"
"475",475,174,55.5,0,"Hombre"
"476",476,170.2,77.3,0,"Hombre"
"477",477,160,80.5,0,"Hombre"
"478",478,167.6,64.5,0,"Hombre"
"479",479,167.6,72.3,0,"Hombre"
"480",480,167.6,61.4,0,"Hombre"
"481",481,154.9,58.2,0,"Hombre"
"482",482,162.6,81.8,0,"Hombre"
"483",483,175.3,63.6,0,"Hombre"
"484",484,171.4,53.4,0,"Hombre"
"485",485,157.5,54.5,0,"Hombre"
"486",486,165.1,53.6,0,"Hombre"
"487",487,160,60,0,"Hombre"
"488",488,174,73.6,0,"Hombre"
"489",489,162.6,61.4,0,"Hombre"
"490",490,174,55.5,0,"Hombre"
"491",491,162.6,63.6,0,"Hombre"
"492",492,161.3,60.9,0,"Hombre"
"493",493,156.2,60,0,"Hombre"
"494",494,149.9,46.8,0,"Hombre"
"495",495,169.5,57.3,0,"Hombre"
"496",496,160,64.1,0,"Hombre"
"497",497,175.3,63.6,0,"Hombre"
"498",498,169.5,67.3,0,"Hombre"
"499",499,160,75.5,0,"Hombre"
"500",500,172.7,68.2,0,"Hombre"
"501",501,162.6,61.4,0,"Hombre"
"502",502,157.5,76.8,0,"Hombre"
"503",503,176.5,71.8,0,"Hombre"
"504",504,164.4,55.5,0,"Hombre"
"505",505,160.7,48.6,0,"Hombre"
"506",506,174,66.4,0,"Hombre"
"507",507,163.8,67.3,0,"Hombre"
