palmitic,palmitoleic,stearic,oleic,linoleic,linolenic,arachidic,eicosenoic,Region,Area
41.3,22.6,33.2,72.2,21.9,47.2,56.3,48.2,North Apulia,South
62.7,46.8,35,47.3,37.6,55.6,56.3,53.6,Calabria,South
75,63.4,19.7,35.9,55.4,34.7,42.7,30.4,South Apulia,South
54.4,44.5,33.6,53.3,36.8,47.2,65,58.9,Sicily,South
46.1,39.6,31.4,46.1,65,56.9,93.2,0,Inland Sardinia,Sardinia
46.7,31.3,44.4,38.9,84.7,25,57.3,0,Coast Sardinia,Sardinia
60.4,17,48.4,59.2,21.7,94.4,95.1,0,East Liguria,North
51.6,50.9,61.9,49.3,56,0,7.8,0,West Liguria,North
42.2,20.8,12.6,78.4,15.4,25,46.6,0,Umbria,North
42.5,21.9,32.3,66.8,32.6,40.3,57.3,48.2,North Apulia,South
26.8,14.7,42.2,85.9,9.9,40.3,59.2,48.2,North Apulia,South
31.6,15.8,39.5,78.3,16.7,66.7,73.8,58.9,North Apulia,South
39.2,19.6,48,69.7,21.9,66.7,75.7,78.6,North Apulia,South
26.8,12.8,52,77,22.5,68.1,66,75,North Apulia,South
27.7,19.2,50.2,80.1,16.6,65.3,52.4,48.2,North Apulia,South
43.6,17.4,37.2,67.7,28,51.4,60.2,58.9,North Apulia,South
42,17,39,68.5,25.5,61.1,78.6,55.4,North Apulia,South
38,15.1,27.4,77.9,18.1,33.3,48.5,50,North Apulia,South
39.2,7.5,30,79.5,15.4,26.4,61.2,39.3,North Apulia,South
37.9,16.6,37.2,74.3,20.8,38.9,58.3,75,North Apulia,South
41.2,20.8,27.8,67.7,29.3,66.7,74.8,55.4,North Apulia,South
23.6,14,40.8,81.4,20.3,54.2,74.8,53.6,North Apulia,South
30.4,12.8,45.7,70.9,32.5,66.7,70.9,69.6,North Apulia,South
48.4,31.3,22,61.9,36,41.7,56.3,48.2,North Apulia,South
29.6,29.8,13.9,73,33.3,55.6,70.9,51.8,North Apulia,South
59.4,20.4,23.8,49.5,49.8,59.7,66,46.4,North Apulia,South
31.2,20.8,19.3,78.6,28.8,61.1,70.9,50,North Apulia,South
30.4,23.4,47.5,72,28.2,56.9,73.8,55.4,North Apulia,South
41.2,19.6,37.7,66,26.2,75,78.6,76.8,North Apulia,South
34.2,11.7,61,71.4,22.6,75,81.6,67.9,North Apulia,South
39.6,14.3,42.6,66.5,24.7,72.2,84.5,87.5,North Apulia,South
40.4,9.1,36.8,74.7,25,55.6,69.9,42.9,North Apulia,South
40.4,11.3,41.7,70.1,24.3,62.5,77.7,64.3,North Apulia,South
63.2,45.7,29.1,41.4,49.1,56.9,59.2,50,Calabria,South
66.6,37.7,42.2,44.3,41.7,59.7,59.2,28.6,Calabria,South
68.3,36.2,53.8,39.2,48.1,61.1,60.2,37.5,Calabria,South
60.9,35.5,41.7,45.2,44.5,56.9,58.3,64.3,Calabria,South
59.1,40,28.3,46.7,43.4,52.8,64.1,69.6,Calabria,South
64.5,39.6,74.4,37.1,45.7,66.7,66,64.3,Calabria,South
62.1,40.4,39.9,45.4,41.3,61.1,68,58.9,Calabria,South
64.9,37.4,16.6,49.1,36.4,63.9,68,33.9,Calabria,South
61.2,38.1,45.3,47.8,36.7,52.8,65,44.6,Calabria,South
54.3,34.7,30.9,54.1,34.2,72.2,66,46.4,Calabria,South
56.4,21.5,58.7,51.9,37.3,58.3,63.1,46.4,Calabria,South
60,43,41.3,48.5,36.3,76.4,61.2,60.7,Calabria,South
56.7,34.7,72.2,47.3,38.4,61.1,62.1,55.4,Calabria,South
66.3,34.3,37.7,43.1,40.9,63.9,70.9,60.7,Calabria,South
57.8,32.8,34.1,50,41.3,65.3,60.2,46.4,Calabria,South
57.9,40,71.7,44.5,42,62.5,61.2,41.1,Calabria,South
61.7,41.1,57,40.8,47,63.9,57.3,62.5,Calabria,South
65.2,38.5,60.5,39.3,43.9,68.1,61.2,69.6,Calabria,South
63.4,30.6,66.4,49.8,30.2,62.5,50.5,42.9,Calabria,South
60.6,38.5,28.3,49.8,38.3,63.9,57.3,53.6,Calabria,South
57.2,38.9,41.3,51.8,33.1,61.1,67,39.3,Calabria,South
62.4,43.8,48,41.1,48,54.2,65,32.1,Calabria,South
53.6,35.5,66.8,45.5,46.7,62.5,61.2,51.8,Calabria,South
66.6,31.3,89.2,45.6,32.5,54.2,52.4,25,Calabria,South
58.3,30.9,49.8,53.8,28.9,59.7,65,48.2,Calabria,South
61.2,31.7,71.3,47.9,33.2,59.7,63.1,37.5,Calabria,South
58.8,38.1,57,45.4,41.5,56.9,68,44.6,Calabria,South
59.4,27.2,80.7,51.1,31.6,58.3,49.5,39.3,Calabria,South
51,36.6,71.3,51.7,36.3,63.9,53.4,46.4,Calabria,South
68.6,35.8,52,44.6,37.2,51.4,56.3,50,Calabria,South
50.9,49.4,62.8,60.7,16.6,50,47.6,37.5,Calabria,South
57.9,52.1,30,50,36.2,69.4,66,42.9,Calabria,South
52.3,45.7,39,63.5,18.1,34.7,51.5,30.4,Calabria,South
54.7,44.9,35.9,64.4,16.4,47.2,45.6,42.9,Calabria,South
64.8,57,25.1,42.2,46.5,52.8,65,41.1,Calabria,South
46.4,53.6,39.5,63.6,18.6,59.7,56.3,51.8,Calabria,South
68.5,63.4,41.7,51.4,15.8,62.5,66,41.1,Calabria,South
71,42.6,47.1,45.4,30.4,56.9,53.4,25,Calabria,South
61.9,42.3,43.9,45.2,41.2,62.5,64.1,39.3,Calabria,South
67.7,39.6,43.9,50,24.9,58.3,64.1,46.4,Calabria,South
64.5,37,40.4,47.1,39.8,50,56.3,28.6,Calabria,South
70.3,51.3,38.6,40.9,40,59.7,68,60.7,Calabria,South
69.3,39.2,36.8,44.4,36.7,52.8,58.3,69.6,Calabria,South
73.1,51.7,57.8,34.5,49,51.4,51.5,41.1,Calabria,South
71.3,41.1,65.5,41.8,33.5,59.7,64.1,46.4,Calabria,South
67.2,49.8,62.3,42.5,32.8,68.1,66,57.1,Calabria,South
68.7,38.9,54.3,46.5,28.4,59.7,64.1,48.2,Calabria,South
59.8,32.8,49.8,52.1,30.8,72.2,61.2,46.4,Calabria,South
61,45.7,48.4,51.2,32.5,63.9,47.6,28.6,Calabria,South
60.2,35.1,60.5,49.4,37,58.3,40.8,37.5,Calabria,South
65.9,54.3,64.6,44,35.4,47.2,56.3,35.7,Calabria,South
56.1,30.9,52,56.8,25.5,69.4,65,60.7,Calabria,South
58.4,32.5,66.4,44.1,44,100,61.2,57.1,Calabria,South
55.6,46.4,44.8,48.4,40.4,72.2,62.1,60.7,Calabria,South
57.3,33.2,31.8,51.9,39.1,62.5,52.4,50,Calabria,South
91.5,59.2,80.3,10,66.1,61.1,86.4,53.6,Sicily,South
65.3,44.5,53.8,23.7,73,63.9,78.6,62.5,Sicily,South
64.8,58.5,55.2,25.5,59.9,61.1,83.5,73.2,Sicily,South
51.9,45.3,49.8,46.3,43.2,58.3,90.3,69.6,Sicily,South
44.6,20,100,69.7,0,69.4,65,76.8,Sicily,South
54.4,20.8,79.4,61.8,11.5,63.9,63.1,73.2,Sicily,South
46.8,21.5,84.8,62.4,20.8,65.3,61.2,53.6,Sicily,South
28.1,9.8,56.1,71.8,32.9,59.7,61.2,41.1,Sicily,South
44,20.4,99.1,67,8.2,68.1,64.1,62.5,Sicily,South
44.4,24.2,68.6,60.5,30.8,59.7,60.2,60.7,Sicily,South
59.9,29.4,50.7,44.3,43.5,56.9,72.8,78.6,Sicily,South
45.3,20.4,56.1,52.9,48.7,55.6,55.3,60.7,Sicily,South
27.2,14,57.8,74.4,24.1,55.6,60.2,100,Sicily,South
26.2,12.8,61,68.6,35.6,65.3,67,96.4,Sicily,South
53,15.1,60.5,48.8,47.7,58.3,69.9,71.4,Sicily,South
75.3,63,51.6,34.1,40.6,54.2,79.6,62.5,Sicily,South
63.7,47.2,18.4,48.7,36.7,47.2,82.5,58.9,Sicily,South
61.6,32.1,44.4,35.3,58.8,52.8,81.6,67.9,Sicily,South
74.1,60.4,48,27.3,56.7,44.4,73.8,53.6,Sicily,South
79.6,86,33.2,31.4,40.1,38.9,68,44.6,Sicily,South
72.8,55.5,31.8,29.2,58,48.6,72.8,67.9,Sicily,South
78.3,55.5,26.5,32.9,47,48.6,92.2,64.3,Sicily,South
69.6,42.6,26.5,42.1,41.3,50,88.3,67.9,Sicily,South
70.6,44.9,26,38.4,46.5,52.8,96.1,73.2,Sicily,South
54.4,43.4,27.8,50.9,39.9,50,84.5,76.8,Sicily,South
48.3,22.3,73.5,61.3,25.1,55.6,60.2,53.6,Sicily,South
49.7,23,69.5,59.4,27.4,56.9,65,53.6,Sicily,South
67.5,33.6,38.1,50.9,32,51.4,66,23.2,Sicily,South
34,16.2,51.6,68.4,31.8,54.2,58.3,75,Sicily,South
32.9,14.3,45.7,67.3,35.9,58.3,65,80.4,Sicily,South
31.7,15.1,54.3,66,37.7,59.7,59.2,80.4,Sicily,South
46,21.9,90.6,58.2,27.4,58.3,71.8,64.3,Sicily,South
51.4,26.4,54.3,54.3,35.8,58.3,68.9,71.4,Sicily,South
57.5,30.2,42.6,52.4,35.6,56.9,66,58.9,Sicily,South
58,27.5,66.8,55.5,25,56.9,67,51.8,Sicily,South
38.4,45.3,26,51,65.4,45.8,85.4,0,Inland Sardinia,Sardinia
43.8,30.6,26,51.2,62.3,41.7,89.3,0,Inland Sardinia,Sardinia
45.2,30.9,30.9,46.4,69.1,45.8,89.3,0,Inland Sardinia,Sardinia
39.3,30.2,28.3,51.6,66.3,40.3,87.4,0,Inland Sardinia,Sardinia
45,32.8,35.4,46.9,70.5,33.3,62.1,0,Inland Sardinia,Sardinia
44.3,44.2,35.4,48.3,63.9,25,62.1,0,Inland Sardinia,Sardinia
46.1,35.1,26.9,51.5,61.3,36.1,58.3,0,Inland Sardinia,Sardinia
42.2,28.7,31.8,51.4,66.3,36.1,58.3,0,Inland Sardinia,Sardinia
43.9,33.2,36.3,48.4,68.4,34.7,57.3,0,Inland Sardinia,Sardinia
43.4,27.5,26.9,49.2,67.7,36.1,63.1,0,Inland Sardinia,Sardinia
44.3,29.1,35.4,50.6,64.8,37.5,58.3,0,Inland Sardinia,Sardinia
41.3,33.2,24.7,52.7,63.4,41.7,64.1,0,Inland Sardinia,Sardinia
39.9,30.6,34.1,51.5,66.5,31.9,68,0,Inland Sardinia,Sardinia
50.3,29.1,24.7,49.6,59.6,45.8,77.7,0,Inland Sardinia,Sardinia
48.8,31.3,27.4,48.3,64.6,50,60.2,0,Inland Sardinia,Sardinia
46.4,24.5,22,52,63.3,34.7,63.1,0,Inland Sardinia,Sardinia
44.2,22.6,30.5,52.1,63.4,37.5,85.4,0,Inland Sardinia,Sardinia
42.8,33.6,36.8,50,66.3,36.1,54.4,0,Inland Sardinia,Sardinia
45.2,24.9,30,52.6,59.6,43.1,76.7,0,Inland Sardinia,Sardinia
44.1,29.4,26.9,51.2,64.2,45.8,64.1,0,Inland Sardinia,Sardinia
38.8,32.5,38.6,51.4,65.8,36.1,84.5,0,Inland Sardinia,Sardinia
49.3,31.7,27.8,48.9,63.9,27.8,63.1,0,Inland Sardinia,Sardinia
48.7,26,22,48.7,66,37.5,72.8,0,Inland Sardinia,Sardinia
43.1,27.5,22.9,52.8,63.1,48.6,73.8,0,Inland Sardinia,Sardinia
50.3,22.6,23.8,51.9,64.5,43.1,69.9,0,Inland Sardinia,Sardinia
43.8,35.5,30.5,49.1,67.7,36.1,55.3,0,Inland Sardinia,Sardinia
44.6,29.1,25.6,50,66.2,41.7,68.9,0,Inland Sardinia,Sardinia
42.8,29.4,31.4,51,65.1,25,49.5,0,Inland Sardinia,Sardinia
41.8,31.3,30,50.8,66.2,43.1,73.8,0,Inland Sardinia,Sardinia
39.2,35.1,33.6,52.3,65.2,38.9,62.1,0,Inland Sardinia,Sardinia
43.2,26,26.5,52.8,62.9,38.9,67,0,Inland Sardinia,Sardinia
47.3,30.9,32.7,49.3,63.9,36.1,61.2,0,Inland Sardinia,Sardinia
38.8,30.6,37.7,52.1,64.5,41.7,75.7,0,Inland Sardinia,Sardinia
44.8,26.8,26,50.2,65.4,40.3,78.6,0,Inland Sardinia,Sardinia
47.1,29.4,39.9,48.5,63.6,29.2,69.9,0,Inland Sardinia,Sardinia
41.3,28.7,21.5,52.6,64.5,47.2,75.7,0,Inland Sardinia,Sardinia
42.8,34.3,30,53.4,66.2,43.1,72.8,0,Inland Sardinia,Sardinia
41.4,30.2,23.3,52.5,66.7,34.7,74.8,0,Inland Sardinia,Sardinia
50.5,27.9,22,51.2,63.7,44.4,82.5,0,Inland Sardinia,Sardinia
43.1,33.6,31.8,50.6,64.9,56.9,52.4,0,Inland Sardinia,Sardinia
39.2,23.8,26.5,53.1,68.3,38.9,77.7,0,Inland Sardinia,Sardinia
38.9,24.2,27.4,54,66.7,36.1,57.3,0,Inland Sardinia,Sardinia
40.1,26.8,30.5,53.1,64,37.5,74.8,0,Inland Sardinia,Sardinia
44,27.5,26,49.9,67.9,36.1,68,0,Inland Sardinia,Sardinia
47.6,7.5,38.1,43,65.6,25,42.7,0,Inland Sardinia,Sardinia
39,30.6,30,47.5,70.5,27.8,43.7,0,Inland Sardinia,Sardinia
44,39.6,29.6,47.5,69.5,29.2,41.7,0,Inland Sardinia,Sardinia
37.3,26,27.8,52.3,71.3,26.4,66,0,Inland Sardinia,Sardinia
40.9,31.3,28.3,46.4,77.5,36.1,64.1,0,Inland Sardinia,Sardinia
43.8,24.9,25.1,47.9,71.3,38.9,85.4,0,Inland Sardinia,Sardinia
38.2,32.5,23.8,50.6,71.2,31.9,80.6,0,Inland Sardinia,Sardinia
43.6,30.2,26,48.3,65.1,27.8,68,0,Inland Sardinia,Sardinia
45.2,26.4,21.1,52.8,59.9,47.2,81.6,0,Inland Sardinia,Sardinia
40.4,31.3,35,49.5,70,30.6,69.9,0,Inland Sardinia,Sardinia
46.3,23.8,30.9,50.1,65.8,27.8,65,0,Inland Sardinia,Sardinia
41.8,39.6,29.6,47.2,68.2,45.8,100,0,Inland Sardinia,Sardinia
41.3,26.8,35.4,52.3,64.7,27.8,68.9,0,Inland Sardinia,Sardinia
38.2,33.2,34.1,50.4,70.9,31.9,62.1,0,Inland Sardinia,Sardinia
46,25.3,22.9,48.3,68.5,38.9,83.5,0,Inland Sardinia,Sardinia
40,36.2,35.4,50.4,68.6,25,61.2,0,Inland Sardinia,Sardinia
43.8,23.8,30.5,50.5,68.6,25,61.2,0,Inland Sardinia,Sardinia
44.4,28.7,22,48.2,72.1,30.6,69.9,0,Inland Sardinia,Sardinia
42.8,35.1,29.6,51.3,71.9,36.1,83.5,0,Inland Sardinia,Sardinia
43,30.6,30.5,49.3,66.4,33.3,91.3,0,Inland Sardinia,Sardinia
48.7,35.1,41.7,36.3,85.9,27.8,70.9,0,Coast Sardinia,Sardinia
46.5,35.8,39.9,37,87.5,26.4,64.1,0,Coast Sardinia,Sardinia
43.1,41.5,43.9,38.9,83.9,26.4,78.6,0,Coast Sardinia,Sardinia
52.5,27.2,38.6,32.7,91.5,31.9,70.9,0,Coast Sardinia,Sardinia
53.6,36.6,41.7,33.5,86.8,27.8,61.2,0,Coast Sardinia,Sardinia
49.4,30.9,53.8,31.8,92.2,25,78.6,0,Coast Sardinia,Sardinia
48.4,39.2,47.1,39.3,78.8,27.8,57.3,0,Coast Sardinia,Sardinia
50.4,36.2,39.9,27.6,100,27.8,90.3,0,Coast Sardinia,Sardinia
48.9,30.6,39.5,35.2,88.9,30.6,74.8,0,Coast Sardinia,Sardinia
45.5,33.6,39.9,40,84.6,18.1,54.4,0,Coast Sardinia,Sardinia
46.4,31.7,47.1,36.3,89.4,30.6,85.4,0,Coast Sardinia,Sardinia
43.2,32.1,48.4,40.9,81.6,31.9,69.9,0,Coast Sardinia,Sardinia
46.3,27.2,36.3,40,84.1,31.9,68,0,Coast Sardinia,Sardinia
51,34,47.5,34.1,87.3,33.3,62.1,0,Coast Sardinia,Sardinia
46.7,29.8,37.2,39,85.3,30.6,63.1,0,Coast Sardinia,Sardinia
42.1,30.6,39.5,40.9,86.3,36.1,53.4,0,Coast Sardinia,Sardinia
42.3,42.3,44.8,40.7,81.9,36.1,58.3,0,Coast Sardinia,Sardinia
47.1,30.2,47.5,37.2,88,29.2,67,0,Coast Sardinia,Sardinia
46.9,32.5,45.7,38.1,84.3,31.9,64.1,0,Coast Sardinia,Sardinia
48.8,35.8,48.9,36.4,83.1,34.7,72.8,0,Coast Sardinia,Sardinia
46.3,27.2,25.1,41.2,84.1,36.1,53.4,0,Coast Sardinia,Sardinia
50.2,35.1,27.8,36.8,84.1,43.1,80.6,0,Coast Sardinia,Sardinia
41.4,23.4,22.4,44.7,83.9,37.5,63.1,0,Coast Sardinia,Sardinia
45.3,28.3,39.5,36.4,91.5,29.2,70.9,0,Coast Sardinia,Sardinia
48.2,36.2,38.6,37,90.4,31.9,76.7,0,Coast Sardinia,Sardinia
47.2,30.2,43.9,34.8,92,27.8,64.1,0,Coast Sardinia,Sardinia
43.4,33.2,51.6,39.6,83.5,30.6,71.8,0,Coast Sardinia,Sardinia
45.9,32.1,37.7,36.1,91.2,33.3,65,0,Coast Sardinia,Sardinia
42.4,27.9,40.8,42.7,83.6,22.2,56.3,0,Coast Sardinia,Sardinia
44.9,30.6,37.7,37.2,90.4,25,70.9,0,Coast Sardinia,Sardinia
50.5,29.1,39.9,33.5,90.8,27.8,79.6,0,Coast Sardinia,Sardinia
49.1,34.3,40.4,34.4,90,31.9,67,0,Coast Sardinia,Sardinia
49.8,24.5,35,65.9,26.6,52.8,66,0,East Liguria,North
43.6,28.3,43.9,65.4,30.5,38.9,75.7,0,East Liguria,North
45.3,20.8,39.5,67.3,27.6,52.8,75.7,0,East Liguria,North
48.9,20.8,43.9,64,29.5,38.9,85.4,0,East Liguria,North
52.4,13.2,26,69.7,23.7,25,46.6,0,East Liguria,North
47.1,13.2,21.5,80.1,12.9,11.1,17.5,0,East Liguria,North
54.2,24.5,39.5,62.1,30.5,38.9,56.3,0,East Liguria,North
50.7,28.3,43.9,57.8,34.4,66.7,95.1,0,East Liguria,North
53.3,20.8,43.9,59.7,32.5,52.8,85.4,0,East Liguria,North
54.2,24.5,30.5,58.8,31.5,80.6,95.1,0,East Liguria,North
50.7,32.1,17,57.8,36.4,66.7,95.1,0,East Liguria,North
48.9,28.3,30.5,60.7,33.5,52.8,85.4,0,East Liguria,North
46.2,32.1,39.5,62.6,32.5,38.9,85.4,0,East Liguria,North
41.8,32.1,48.4,66.8,29.5,25,66,0,East Liguria,North
42.7,28.3,57.4,67.8,26.6,66.7,95.1,0,East Liguria,North
36.4,32.1,52.9,69.7,25.6,52.8,85.4,0,East Liguria,North
42.7,28.3,43.9,65.4,30.5,80.6,75.7,0,East Liguria,North
45.3,32.1,48.4,67.3,22.7,38.9,75.7,0,East Liguria,North
41.8,24.5,39.5,72.5,21.7,38.9,66,0,East Liguria,North
48.9,20.8,35,73.9,18.8,11.1,17.5,0,East Liguria,North
43.6,24.5,39.5,72,21.7,25,66,0,East Liguria,North
39.1,32.1,43.9,77.3,17.8,11.1,27.2,0,East Liguria,North
42.7,28.3,52.9,70.1,23.7,38.9,46.6,0,East Liguria,North
45.3,24.5,48.4,68.7,22.7,38.9,75.7,0,East Liguria,North
45.3,32.1,43.9,65.4,27.6,52.8,66,0,East Liguria,North
51.6,28.3,35,64.9,25.6,38.9,75.7,0,East Liguria,North
49.8,35.8,43.9,62.6,28.6,25,85.4,0,East Liguria,North
45.3,32.1,35,67.3,27.6,25,66,0,East Liguria,North
51.6,24.5,52.9,65.9,26.6,11.1,36.9,0,East Liguria,North
70.2,28.3,52.9,53.1,34.4,0,17.5,0,East Liguria,North
65.8,24.5,43.9,57.8,30.5,11.1,27.2,0,East Liguria,North
42.7,17,30.5,75.4,21.7,11.1,56.3,0,East Liguria,North
48,28.3,35,70.6,19.8,38.9,56.3,0,East Liguria,North
56,28.3,30.5,72,13.9,11.1,27.2,0,East Liguria,North
54.2,32.1,39.5,75.4,8,0,7.8,0,East Liguria,North
50.7,24.5,43.9,74.4,12.9,11.1,27.2,0,East Liguria,North
49.8,35.8,39.5,67.8,17.8,38.9,85.4,0,East Liguria,North
49.8,32.1,57.4,66.8,18.8,25,66,0,East Liguria,North
50.7,24.5,30.5,70.6,22.7,11.1,36.9,0,East Liguria,North
52.4,28.3,39.5,72,13.9,11.1,46.6,0,East Liguria,North
47.1,28.3,39.5,74.9,11.9,25,56.3,0,East Liguria,North
48.9,20.8,26,74.4,12.9,38.9,75.7,0,East Liguria,North
46.2,24.5,43.9,70.1,19.8,52.8,56.3,0,East Liguria,North
48,24.5,39.5,71.1,17.8,38.9,66,0,East Liguria,North
44.4,20.8,39.5,72,21.7,25,66,0,East Liguria,North
48,20.8,30.5,73.5,16.8,25,36.9,0,East Liguria,North
50.7,24.5,39.5,69.2,21.7,25,46.6,0,East Liguria,North
36.4,24.5,43.9,76.8,22.7,11.1,27.2,0,East Liguria,North
0,24.5,35,100,19.8,0,17.5,0,East Liguria,North
44.4,43.4,26,59.2,54,0,0,0,West Liguria,North
36.4,32.1,30.5,58.3,56.9,0,0,0,West Liguria,North
40.9,39.6,26,61.6,53,0,7.8,0,West Liguria,North
35.6,28.3,88.8,55.9,58.9,11.1,7.8,0,West Liguria,North
40,47.2,39.5,65.4,37.4,11.1,36.9,0,West Liguria,North
40,47.2,52.9,62.6,42.3,11.1,17.5,0,West Liguria,North
37.3,32.1,35,68.2,44.2,0,0,0,West Liguria,North
45.3,43.4,43.9,58.3,51.1,0,0,0,West Liguria,North
37.3,35.8,30.5,69.2,52.1,0,0,0,West Liguria,North
40.9,32.1,35,61.6,53,11.1,0,0,West Liguria,North
47.1,62.3,30.5,62.1,39.3,11.1,7.8,0,West Liguria,North
42.7,62.3,35,61.1,40.3,11.1,36.9,0,West Liguria,North
32.9,35.8,66.4,67.3,45.2,11.1,0,0,West Liguria,North
32.9,28.3,79.8,58.8,57.9,0,0,0,West Liguria,North
31.1,28.3,21.5,71.6,48.1,0,0,0,West Liguria,North
33.8,28.3,26,70.1,47.2,0,0,0,West Liguria,North
